original_site_code,sitename,lat,long,country,species_name
AtlSP063,"Xitué, floresta pluvial",-24.2838888888889,-48.3319444444444,Brasil,Allophylus edulis
AtlMG019,"Parque do Rio Doce, Ipatinga, floresta semidecídua",-19.4986111111111,-42.5263888888889,Brasil,Miconia budlejoides
AmzPA048,"Tomé-Açu, floresta pluvial de terra firme",-2.45388888888889,-48.1216666666667,Brasil,Protium sagotianum
AtlMG165,"Serra da Gandarela, campo rupícola",-20.1105555555556,-43.6655555555556,Brasil,Guapira tomentosa
AtlAL032,"Igreja Nova, floresta semidecídua",-10.0877777777778,-36.5186111111111,Brasil,Ouratea salicifolia
CaaBA049,"Caturama, caatinga carbonática",-13.3016666666667,-42.2644444444444,Brasil,Pilosocereus pachycladus
CerGO135,"Niquelândia, nanofloresta rupícola",-14.3313888888889,-48.5325,Brasil,Heisteria ovata
CerMG198,"Uberlândia, Irara, floresta ripícola",-19.1591666666667,-48.1530555555556,Brasil,Pouteria torta
AtlPR105,"Cristo Rei, floresta semidecídua",-22.7511111111111,-52.4369444444444,Brasil,Ecclinusa ramiflora
AtlRJ066,"Maciço do Tinguá, floresta pluvial",-22.5511111111111,-43.4130555555556,Brasil,Meriania paniculata
AtlES055,"Castelo, Mata das Flores, floresta semidecídua",-20.61,-41.1713888888889,Brasil,Discophora guianensis
AmzAM308,"Alto Rio Juami, nanofloresta de areias brancas",-2.32027777777778,-68.4466666666667,Brasil,Guarea cristata
CerGO128,"Barro Alto, floresta ripícola",-15.0094444444444,-48.9658333333333,Brasil,Terminalia fagifolia
AmzPA113,"Itupiranga, Benfica, floresta estacional de terra firme",-5.25138888888889,-49.7727777777778,Brasil,Tapirira guianensis
CaaPI024,"Curimatá, caatinga arbórea",-10.1144444444444,-44.18,Brasil,Croton tricolor
AtlSC102,"Joinville, Serra Dona Francisca, floresta nebular",-26.2288888888889,-49.07,Brasil,Myrcia multiflora
AmzMT038,"Estação Ecológica de Iquê, floresta estacional subserrana",-11.9855555555556,-59.4205555555556,Brasil,Ecclinusa ramiflora
CaaBA059,"Manoel Vitorino, caatinga alcalina",-14.0958333333333,-40.2772222222222,Brasil,Libidibia ferrea
AtlSC197,"Coronel Freitas, floresta semidecídua",-26.955,-52.74,Brasil,Actinostemon concolor
CerGO015,"Silvânia, floresta ripícola",-16.6652777777778,-48.6322222222222,Brasil,Machaerium acutifolium
AtlSP041,"Parque Estadual do Jaraguá, floresta pluvial",-23.4680555555556,-46.7683333333333,Brasil,Esenbeckia grandiflora
CerMT073,"Santo Antônio do Leverger, cerradão mesotrófico",-15.7688888888889,-56.0797222222222,Brasil,Combretum leprosum
AtlPE022,"Tamandaré, Saltinho, floresta pluvial",-8.72444444444444,-35.1752777777778,Brasil,Amaioua guianensis
AmzPA046,"Cametá, floresta pluvial de terra firme",-2.17305555555556,-49.5308333333333,Brasil,Pouteria cuspidata
CerPI019,"Beneditinos, nanofloresta areno-rupícola",-5.39166666666667,-42.3416666666667,Brasil,Eugenia flavescens
AmzRO052,"Jaru, floresta estacional de terra firme",-10.5308333333333,-62.3797222222222,Brasil,Trichilia catigua
CerGO113,"Doverlândia, cerrado rupícola",-16.8752777777778,-52.3186111111111,Brasil,Jacaranda brasiliana
AmzAM034,"Manaus, Campus da UFAM, floresta pluvial de terra firme",-3.09111111111111,-59.9594444444444,Brasil,Siparuna poeppigii
AtlRJ076,"Petrópolis, floresta nebular",-22.5347222222222,-43.1580555555556,Brasil,Eugenia subavenia
AmzAM034,"Manaus, Campus da UFAM, floresta pluvial de terra firme",-3.09111111111111,-59.9594444444444,Brasil,Peritassa dulcis
AmzPA153,"Terra Santa, Entroncamento, floresta pluvial de terra firme",-1.95527777777778,-56.5011111111111,Brasil,Mezilaurus itauba
