Nome da instituicao,Sigla da instituicao,Nome da base de dados,Sigla da base de dados,Responsavel pelo registro,Numero do registro no portal,Numero do registro na base de dados,Data do registro,Data do evento,Data de Carencia,Nome cientifico,Nome comum,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Pais,Estado/Provincia,Municipio,Status de Sensibilidade,Latitude,Longitude,Outras informacoes da localidade,Jurisdicao,Destino do Material
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.C. Tavares,RB00569138,820,01/08/2005,NA,30/10/2017,Zoopsidella integrifolia,NA,Zoopsidela integrifolia (Spruce) R.M. Schust.,species,NA,NA,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Zoopsidella,Zoopsidella integrifolia,Espécie não Ameaçada,NA,Fazenda São Marcos. Mata Primária de Terra Firme.,Brasil,Pará,Capitão Poço,Espécie não Sensível,-47.0666667,-1.7666667,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Flavio Antonio Maës Dos Santos,1096497,"Nº Da Autorização/Licença Sisbio: 49044, Projeto: Processos Ecológicos Espacialmente Estruturados Em Uma Floresta Tropical Megadiversa",12/07/2016,13/07/2016 a 16/09/2016,21/08/2019,Miconia,NA,Miconia,genus,1,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,NA,Espécie Ameaçada,Criticamente em Perigo,"Parque Estadual Da Serra Do Mar, Capricornio",Brasil,SP,Ubatuba,Espécie não Sensível,-23.373917,-45.080711,Coordenada de referência da área amostrada,NA,Será destinado posteriormente
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R. R. de Santos,RB00319541,NA,07/06/1968,NA,30/10/2017,Polygala,NA,Polygala juncea A.St.-Hil. & Moq.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Polygalales,Polygalaceae,Polygala,NA,Espécie Ameaçada,Em Perigo,200Km N. of  Xavantina on the Xavantina- São Félix road. .,Brasil,Mato Grosso,NA,Espécie não Sensível,-14.7333333,-52.3333333,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.B. Junqueira,RB00717224,741,19/10/2008,NA,30/10/2017,Cynometra spruceana,NA,Cynometra spruceana var. phaselocarpa (Hayne) Dwyer,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Cynometra,Cynometra spruceana,Espécie não Ameaçada,NA,NA,Brasil,Amazonas,Barcelos,Espécie não Sensível,-1.1261111,-62.3227778,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"V.C. Souza et. al.,",RB00857666,15806,25/04/1997,NA,30/10/2017,Macairea,NA,Macairea,genus,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Macairea,NA,Espécie não Ameaçada,NA,"Serra do Cachimbo , Estrada Guarantã do Norte - Cachimbo, ca 13 km antes da divisa com Estado do Pará.",Brasil,Mato Grosso,Guarantã do Norte,Espécie não Sensível,-9.6,-54.8833333,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Valderes Bento Sarnaglia Junior,349367,"Nº Da Autorização/Licença Sisbio: 35628, Projeto: O Gênero Peperomia Ruiz & Pav. (Piperaceae) Em Santa Teresa, Es - Brasil",18/09/2012,19/09/2012 a 19/09/2012,26/08/2014,Piper,NA,Piper carautensei,genus,1,NA,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Piper,NA,Espécie Ameaçada,Em Perigo,Reserva Biológica Augusto Ruschi,Brasil,ES,NA,Espécie não Sensível,-19.9121,-40.5411,Coordenada aproximada,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,P.J.M.Mass,RB00349260,NA,12/10/1987,NA,30/10/2017,Palicourea guianensis,NA,Palicourea guianensis Aubl.,species,NA,NA,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Palicourea,Palicourea guianensis,Espécie não Ameaçada,NA,"Rio Negro, near Camanaus.",Brasil,Amazonas,NA,Espécie não Sensível,-0.1333333,-66.95,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"López Roberts, MC",RB00953096,161,06/05/2015,NA,30/10/2017,Cratylia hypargyrea,NA,Cratylia hypargyrea Mart. ex Benth.,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Cratylia,Cratylia hypargyrea,Espécie não Ameaçada,NA,"Jurujuba, Praia Adão e Eva.",Brasil,Rio de Janeiro,Niterói,Espécie não Sensível,-22.9288889,-43.1225,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M. Nadruz,RB00494027,2031,25/09/2007,NA,30/10/2017,Euphorbiaceae,NA,EUPHORBIACEAE Pausandra cf. megalophylla Müll.Arg.,family,NA,NA,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,NA,NA,Espécie não Ameaçada,NA,"Distrito de Santo Aleixo, sossego.",Brasil,Rio de Janeiro,Magé,Espécie não Sensível,-22.5288889,-43.0480555,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.A.M. de Barros,RB00519000,2931,13/11/2005,NA,30/10/2017,Moraceae,NA,Sorocea hilarii Gaudich.,family,NA,NA,Magnoliophyta,Magnoliopsida,Urticales,Moraceae,NA,NA,Espécie não Ameaçada,NA,"Parque Estadual da Serra da Tiririca, trilha da Cumeeira. Indivíduo 16 do Transect TB1. CAP 9,0 cm. Folhasn cartáceas discolores verdes, látex alvo.",Brasil,Rio de Janeiro,Niterói,Espécie não Sensível,-22.9461111,-43.005,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,D.C. Daly,RB00610614,12027,28/09/2003,NA,30/10/2017,Ficus obtusifolia,NA,Ficus obtusifolia Kunth,species,NA,NA,Magnoliophyta,Magnoliopsida,Urticales,Moraceae,Ficus,Ficus obtusifolia,Espécie não Ameaçada,NA,"Projeto de Assentamento Extrativista (PAE) São Luis do Remanso, ""Jarinal"", 21 km on acess road that leaves N From km 30 of Capixaba-Brasiléia road (BR-317).",Brasil,Acre,Capixaba,Espécie não Sensível,-10.4413889,-67.8566667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C. A. Cid,RB00629937,4151,13/07/1983,NA,30/10/2017,Ischnosiphon,NA,Ischnosiphon,genus,NA,NA,Magnoliophyta,Liliopsida,Zingiberales,Marantaceae,Ischnosiphon,NA,Espécie Ameaçada,Em Perigo,"Rio Parauarí, margem direita, entre os lugares Água Mineral e Calcário.",Brasil,Amazonas,Maués,Espécie não Sensível,-4.75,-57.9166667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L.Y.S. Aona,RB00792815,2100,01/03/2013,NA,30/10/2017,Celtis,NA,Celtis brasiliensis (Gardner) Planch.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Urticales,Ulmaceae,Celtis,NA,Espécie não Ameaçada,NA,"Parque Nacional de Boa Nova, setor central, Fazenda Alvorada, Perto do Lagedo dos Beija-flores.",Brasil,Bahia,Boa Nova,Espécie não Sensível,-18.0163889,-42.9611111,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R.P. Lyra-Lemos,RB00549890,4592,16/05/2000,NA,30/10/2017,Loranthaceae,NA,Psittacanthus,family,NA,NA,Magnoliophyta,Magnoliopsida,Santalales,Loranthaceae,NA,NA,Espécie não Ameaçada,NA,Próximo à estação da Embratel. Mata Atlântica.,Brasil,Alagoas,Murici,Espécie não Sensível,-9.2452777,-35.8127778,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A. Piratininga,RB00443685,NA,20/06/1994,NA,30/10/2017,Psychotria mapourioides,NA,Psychotria mapourioides DC.,species,NA,NA,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Psychotria,Psychotria mapourioides,Espécie não Ameaçada,NA,Encosta área da parcela 4C. Reserva Biológica de Poço das Antas,Brasil,Rio de Janeiro,Silva Jardim,Espécie não Sensível,-22.5,-42.25,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,B. Valente,RB01229514,2,09/01/2017,NA,30/10/2017,Leandra reversa,NA,Leandra reversa (DC.) Cogn.,species,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Leandra,Leandra reversa,Espécie não Ameaçada,NA,Estrada Cambuci - Monte Verde.,Brasil,Rio de Janeiro,Cambuci,Espécie não Sensível,-22.9652778,-43.2286111,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"A.A.M. Barros et. al.,",RB00834512,4705,26/06/2012,NA,30/10/2017,Rudgea francavillana,NA,Rudgea francavillana Müll.Arg.,species,NA,NA,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Rudgea,Rudgea francavillana,Espécie não Ameaçada,NA,"Itaipu, Parque Estadual da Serra da Tiririca, Morro das Andorinhas, trilha das Andorinhas.",Brasil,Rio de Janeiro,Niterói,Espécie não Sensível,-22.9666667,-43.0333333,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Fabiane Nepomuceno Costa,122173,"Nº Da Autorização/Licença Sisbio: 21223, Projeto: O Gênero Paepalanthus (Eriocaulaceae) Na Porção Central Da Cadeia Do Espinhaço Em Minas Gerais E Aspectos Da Biologia De P. Macrocephalus (Bong.) Korn.",18/05/2011,19/05/2011 a 19/05/2011,04/08/2014,Syngonanthus fischerianus,NA,Paepalanthus vaginatus,species,3,NA,Magnoliophyta,Liliopsida,Poales,Eriocaulaceae,Syngonanthus,Syngonanthus fischerianus,Espécie não Ameaçada,NA,Parque Estadual Do Biri-Biri,Brasil,MG,Diamantina,Espécie não Sensível,-18.177972,-43.544111,Coordenada de referência da área amostrada,NA,Será destinado posteriormente
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M.J. Pires,RB00588195,1497,02/12/1986,NA,30/10/2017,Piper,NA,Piper gurupanum Yunck.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Piper,NA,Espécie Ameaçada,Em Perigo,Reserva Genética do Jari. Gleba São Militão entre E-1 e E-2.,Brasil,Pará,Almeirim,Espécie não Sensível,-0.7666667,-52.6666667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L. A. Pereira,RB00706716,245,11/05/2011,NA,30/10/2017,Chiococca alba,NA,Chiococca alba (L.) Hitchc.,species,NA,NA,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Chiococca,Chiococca alba,Espécie não Ameaçada,NA,Mangabeira. Sede do Município.,Brasil,Paraíba,João Pessoa,Espécie não Sensível,-7.115,-34.8630556,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,Haroldo C. de Lima,RB01208122,8472,12/12/2016,NA,30/10/2017,Lonchocarpus cultratus,NA,Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Lonchocarpus,Lonchocarpus cultratus,Espécie não Ameaçada,NA,"Rodovia RJ-186, Fazenda Prosperidade. Mata Estacional. Parque Municipal da Pedra Redonda",Brasil,Rio de Janeiro,São José de Ubá,Espécie não Sensível,-21.4116667,-42.0022222,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,André Antonio Vasconcelos,363997,"Nº Da Autorização/Licença Sisbio: 35942, Projeto: Monitoramento De Fauna E Flora No Parque Nacional Do Pau-Brasil, Porto Seguro, Bahia.",18/10/2012,19/10/2012 a 20/10/2012,16/09/2018,Baccharis,NA,Baccharis,genus,1,NA,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,NA,Espécie Ameaçada,Em Perigo,Parque Nacional Do Pau Brasil,Brasil,BA,NA,Espécie não Sensível,-16.467458,-39.352923,Coordenada exata da ocorrência,NA,Solto/mantido na natureza
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,G. Martinelli,RB00606221,16670,28/01/2010,NA,30/10/2017,Croton cuneatus,NA,Croton cuneatus Klotzsch,species,NA,NA,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton cuneatus,Espécie não Ameaçada,NA,Povoado do Amolar. Pista de pouso as margens do Rio Paraguai. Floresta estacional semidecídua.,Brasil,Mato Grosso do Sul,Corumbá,Espécie não Sensível,-18.0316667,-57.49,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Daniel Magnabosco Marra,413908,"Nº Da Autorização/Licença Sisbio: 30041, Projeto: Inventário Florestal Em Floresta Remanescente A Tempestade De Vento Na Rds Do Rio Negro, Amazonas",04/09/2012,05/09/2012 a 05/09/2012,29/09/2017,Ocotea myriantha,NA,Ocotea myriantha,species,1,NA,Magnoliophyta,Magnoliopsida,Laurales,Lauraceae,Ocotea,Ocotea myriantha,Espécie não Ameaçada,NA,"Rds Do Rio Negro, Igarapé Sucuriju",Brasil,AM,Iranduba,Espécie não Sensível,-2.992594,-60.749211,Coordenada exata da ocorrência,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,S.M. de Campos,RB00719137,146,18/01/1960,NA,30/10/2017,Pterocaulon angustifolium,NA,Pterocaulon angustifolium DC.,species,NA,NA,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pterocaulon,Pterocaulon angustifolium,Espécie não Ameaçada,NA,4Km NNW da cid. de Itapetininga.,Brasil,São Paulo,Itapetininga,Espécie não Sensível,-23.5833333,-48.05,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,André M. de Carvalho,RB00469284,3448,30/06/1991,NA,30/10/2017,Solanaceae,NA,Aureliana,family,NA,NA,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,NA,NA,Espécie não Ameaçada,NA,"Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz.",Brasil,Bahia,Uruçuca,Espécie não Sensível,-14.4166667,-39.0166667,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Marcos Bergmann Carlucci,165596,"Nº Da Autorização/Licença Sisbio: 30669, Projeto: Padrões De Organização De Comunidades Arbóreas E Arbustivas Em Expansão Sobre Campos Nativos No Sul Do Brasil - O Papel De Dimensões Do Nicho E Da Filogenia Da Escala Local À Regional",27/11/2011,28/11/2011 a 28/11/2011,29/09/2018,Leandra laevigata,NA,Leandra laevigata,species,1,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Leandra,Leandra laevigata,Espécie não Ameaçada,NA,Cpcn Pró-Mata-Pucrs,Brasil,RS,Sao Francisco De Paula,Espécie não Sensível,-29.48,-50.2,Coordenada aproximada,NA,Destinado a laboratório
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Wendeson Castro Da Silva,1050636,"Nº Da Autorização/Licença Sisbio: 33944, Projeto: Influencia Do Bambu (Guadua Spp.) Sobre A Biomassa Aérea De Florestas Do Sudoeste Da Amazônia",15/06/2013,16/06/2013 a 16/06/2013,15/05/2014,Trichilia poeppigii,NA,Trichilia poeppigii,species,3,NA,Magnoliophyta,Magnoliopsida,Sapindales,Meliaceae,Trichilia,Trichilia poeppigii,Espécie não Ameaçada,NA,Parque Nacional Da Serra Do Divisor,Brasil,AC,NA,Espécie não Sensível,-8.568056,-72.900556,Coordenada de referência da área amostrada,NA,Depositado em banco de amostras biológicas
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Barbara Rocha Venancio,924171,"Nº Da Autorização/Licença Sisbio: 49369, Projeto: Projeto Em Grande Escala Na Verificação Genética De Madeira",10/11/2015,11/11/2015 a 14/11/2015,02/07/2020,Simarouba amara,NA,Simarouba amara,species,1,NA,Magnoliophyta,Magnoliopsida,Sapindales,Simaroubaceae,Simarouba,Simarouba amara,Espécie não Ameaçada,NA,Floresta Nacional Do Amapá,Brasil,AP,NA,Espécie não Sensível,0.685278,-51.318611,Coordenada exata da ocorrência,NA,Destinado a laboratório
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,G.Martinelli,RB00929412,18438,06/11/2014,NA,30/10/2017,Psychotria crocochlamys,NA,Psychotria crocochlamys Sandwith,species,NA,NA,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Psychotria,Psychotria crocochlamys,Espécie não Ameaçada,NA,"Parque Nacional do Monte Roraima, Monte Caburaí, próximo da divisa com a Guiana, campos úmidos de Rapatecaeae.",Brasil,Roraima,Uiramutã,Espécie não Sensível,8.1588889000000009,-60.1722223,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Anne Lígia Dokkedal Bosqueiro,752096,"Nº Da Autorização/Licença Sisbio: 39825, Projeto: 'Influência Fitogeográfica E Sazonal No Perfil Químico De Espécies De Cerrado'.",13/03/2015,14/03/2015 a 14/03/2015,15/08/2017,Bauhinia rufa,NA,Bauhinia holophylla,species,100,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia rufa,Espécie não Ameaçada,NA,Área Da Unesp-Botucatu,Brasil,SP,Pratania,Espécie não Sensível,-22.807778,-48.665833,Coordenada de referência da área amostrada,NA,Destinado a laboratório
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L.Y.S. Aona,RB00923789,3344,21/11/2013,NA,30/10/2017,Celastraceae,NA,CELASTRACEAE,family,NA,NA,Magnoliophyta,Magnoliopsida,Celastrales,Celastraceae,NA,NA,Espécie não Ameaçada,NA,Concessão da Rio Tinto.,Brasil,Bahia,Apuarema,Espécie não Sensível,-13.8797223,-39.6888889,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L.S. Leoni,RB01221263,s.n.,05/09/1984,NA,30/10/2017,Miltonia spectabilis,NA,Miltonia spectabilis Lindl.,species,NA,NA,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,Miltonia spectabilis,Espécie não Ameaçada,NA,Orquidário F.C. Hoehen.,Brasil,Minas Gerais,Carangola,Espécie não Sensível,-20.7166667,-42.0166667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,J.S. Vagner,RB01210163,5,13/09/2015,NA,30/10/2017,Leucaena leucocephala,NA,Leucaena leucocephala (Lam.) de Wit,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Leucaena,Leucaena leucocephala,Espécie não Ameaçada,NA,"Rodovia BR 367. trecho Porto Seguro / Santa Cruz Cabrália, estrada de acesso ao loteamento Mutary.",Brasil,Bahia,NA,Espécie não Sensível,-16.3530556,-39.0141667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"GONCALVES, A.C.",RB00970128,PSACF_EX05240,02/02/2015,NA,30/10/2017,Malpighiaceae,NA,MALPIGHIACEAE,family,NA,NA,Magnoliophyta,Magnoliopsida,Polygalales,Malpighiaceae,NA,NA,Espécie não Ameaçada,NA,NA,Brasil,Pará,Vitória do Xingu,Espécie não Sensível,-3.2172223,-51.76,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Pedro Fiaschi,577632,Nº Da Autorização/Licença Sisbio: 41577,06/12/2013,07/12/2013 a 08/12/2013,01/12/2019,Oxalis,NA,Oxalis,genus,1,NA,Magnoliophyta,Magnoliopsida,Geraniales,Oxalidaceae,Oxalis,NA,Espécie Ameaçada,Criticamente em Perigo,Parque Nacional De São Joaquim,Brasil,SC,NA,Espécie não Sensível,-28.15,-49.633333,Coordenada aproximada,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M.L.C.V.Spolidoro,RB00486340,NA,14/08/2000,NA,30/10/2017,Myristicaceae,NA,MYRISTICACEAE,family,NA,NA,Magnoliophyta,Magnoliopsida,Magnoliales,Myristicaceae,NA,NA,Espécie não Ameaçada,NA,"Distrito de Barão de Juparanã, fazenda santa Mônica, alto do Baeta.",Brasil,Rio de Janeiro,Valença,Espécie não Sensível,-22.35,-43.7166667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,V.Maioli,RB00545946,651,08/07/2008,NA,30/10/2017,Hydrochorea corymbosa,NA,Hydrochorea corymbosa (Rich.) Barneby & J.W.Grimes,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Hydrochorea,Hydrochorea corymbosa,Espécie não Ameaçada,NA,Trilha do Eixo da Hidreletrica de Colider.,Brasil,Mato Grosso,Itaúba,Espécie não Sensível,-11.0127777,-55.9075,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.P. Fontana,RB01123863,7957,19/03/2014,NA,30/10/2017,Capparaceae,NA,Neocalyptrocalyx longifolium (Mart.) Cornejo & Iltis,family,NA,NA,Magnoliophyta,Magnoliopsida,Capparales,Capparaceae,NA,NA,Espécie não Ameaçada,NA,Flona Negreiros,Brasil,Pernambuco,Serrita,Espécie não Sensível,-7.9633333,-3.3333333,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,W.DA FONSECA,RB00263522,258,19/08/1980,NA,30/10/2017,Jacquemontia,NA,Jacquemontia bahiense O'Donell,genus,NA,NA,Magnoliophyta,Magnoliopsida,Solanales,Convolvulaceae,Jacquemontia,NA,Espécie Ameaçada,Vulnerável,NA,Brasil,Bahia,Serrolândia,Espécie não Sensível,-11.4797223,-40.3013889,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,ROBERTO ORLANDI,RB00219051,204,22/08/1980,NA,30/10/2017,Sida urens,NA,Sida urens L.,species,NA,NA,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Sida,Sida urens,Espécie não Ameaçada,NA,SERRA DO BRITE.,Brasil,Bahia,Jacobina,Espécie não Sensível,-11.1519444,-40.0113889,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,H.C.de Lima,RB00559528,2499,12/12/1984,NA,30/10/2017,Cryptocarya,NA,Cryptocarya moschata Nees & Mart.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,NA,Espécie não Ameaçada,NA,Estação Ecológica Estadual de Paraíso. Caminho próximo a represa da CEDAE.,Brasil,Rio de Janeiro,Guapimirim,Espécie não Sensível,-22.4333333,-42.8333333,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Alejandro Lozano Balcázar,111520,"Nº Da Autorização/Licença Sisbio: 27440, Projeto: Dinâmica Do Uso De Plantas Medicinais Na Floresta Nacional Do Araripe (Ceará, Nordeste Do Brasil)",30/04/2011,01/05/2011 a 01/05/2011,23/07/2013,Bauhinia variegata,NA,Bauhinia variegata,species,1,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia variegata,Espécie não Ameaçada,NA,Floresta Nacional De Araripe-Apodi,Brasil,CE,NA,Espécie não Sensível,-7.406356,-39.349139,Coordenada de referência da área amostrada,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"COSTA , M.A.S",RB00175789,749,19/08/1997,NA,30/10/2017,Dipteryx polyphylla,NA,LEGUMINOSAE Dipteryx cf. polyphylla (Huber) Ducke,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Dipteryx,Dipteryx polyphylla,Espécie não Ameaçada,NA,"KM 26, RESERVA FLORESTAL DUCKE.",Brasil,Amazonas,Itacoatiara,Espécie não Sensível,-2.8833333,-59.9666667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L. O. A. Teixeira,RB00113393,387,11/05/1982,NA,30/10/2017,Euphorbia hyssopifolia,NA,Euphorbia hyssopifolia L.,species,NA,NA,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia hyssopifolia,Espécie não Ameaçada,NA,"Mineração Mibrasa, setor Alto Candeias, km 128.",Brasil,Rondônia,Ariquemes,Espécie não Sensível,-10.5833333,-63.5833333,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Paula- Souza, J",RB00593528,4187,18/01/2005,NA,30/10/2017,Dasyphyllum sprengelianum,NA,Dasyphyllum sprengelianum (Gardner) Cabrera,species,NA,NA,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Dasyphyllum,Dasyphyllum sprengelianum,Espécie não Ameaçada,NA,Serra dos Pireneus. 14 Km do trevo de Anápolis e Goiania em direção ao Parque.,Brasil,Goiás,Pirenópolis,Espécie não Sensível,-15.8016667,-48.8561111,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,P.C. Gadelha Neto,RB00822756,3399,26/09/2012,NA,30/10/2017,Palicourea marcgravii,NA,Palicourea marcgravii A.St.-Hil.,species,NA,NA,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Palicourea,Palicourea marcgravii,Espécie não Ameaçada,NA,Mata do Tamanduá.,Brasil,Paraíba,Caaporã,Espécie não Sensível,-7.45,-34.9666667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M. L. Fonseca,RB00459547,452,23/08/1995,NA,30/10/2017,Eriosema venulosum,NA,Eriosema venulosum Benth.,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Eriosema,Eriosema venulosum,Espécie não Ameaçada,NA,"Velha da Galinha, Faz. do Sr. Edgard Van Bürcher. .",Brasil,Bahia,Correntina,Espécie não Sensível,-13.5208334,-45.4077778,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R. A. X. Borges,RB00548318,586,20/01/2007,NA,30/10/2017,Plantae,NA,Swartzia,kingdom,NA,NA,NA,NA,NA,NA,NA,NA,Espécie Ameaçada,Vulnerável,"Arataca. Serra das Lontras, ca. 7Km no ramal que liga o distrito de Itatinguí à Serra, ramal de acesso à Fazenda Véu de Noiva, de propriedade de José Marques.",Brasil,Bahia,NA,Espécie não Sensível,-15.2027778,-39.4080556,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,G.A.D. Junior,RB01211044,3433,20/02/2005,NA,30/10/2017,Epistephium sclerophyllum,NA,Epistephium sclerophyllum Lindl.,species,NA,NA,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Epistephium,Epistephium sclerophyllum,Espécie não Ameaçada,NA,Mineração Corumbaense.,Brasil,Mato Grosso do Sul,Corumbá,Espécie não Sensível,-19.2238889,-57.5586111,NA,NA,NA
