scientificName,.uncer_terms,.infraesp_names,names_clean,quality
Vriesea simplex,TRUE,TRUE,Vriesea simplex,1
Campylocentrum grisebachii,TRUE,TRUE,Campylocentrum grisebachii,1
Vriesea carinata,TRUE,TRUE,Vriesea carinata,1
Epidendrum vesicatum,TRUE,TRUE,Epidendrum vesicatum,1
Vriesea vagans,TRUE,TRUE,Vriesea vagans,1
Vriesea recurvata,TRUE,TRUE,Vriesea recurvata,1
Anathallis adenochila,TRUE,TRUE,Anathallis adenochila,1
Nematanthus hirtellus,TRUE,TRUE,Nematanthus hirtellus,1
Tillandsia stricta,TRUE,TRUE,Tillandsia stricta,1
Acianthera saundersiana,TRUE,TRUE,Acianthera saundersiana,1
Monstera praetermissa,TRUE,TRUE,Monstera praetermissa,1
Christensonella subulata,TRUE,TRUE,Christensonella subulata,1
Tillandsia tricholepis,TRUE,TRUE,Tillandsia tricholepis,1
Neoregelia macrosepala,TRUE,TRUE,Neoregelia macrosepala,1
Peperomia corcovadensis,TRUE,TRUE,Peperomia corcovadensis,1
Tillandsia stricta,TRUE,TRUE,Tillandsia stricta,1
Peperomia tetraphylla,TRUE,TRUE,Peperomia tetraphylla,1
Vriesea carinata,TRUE,TRUE,Vriesea carinata,1
Vriesea platynema,TRUE,TRUE,Vriesea platynema,1
Christensonella pachyphylla,TRUE,TRUE,Christensonella pachyphylla,1
Portea petropolitana,TRUE,TRUE,Portea petropolitana,1
Rhipsalis lindbergiana,TRUE,TRUE,Rhipsalis lindbergiana,1
Nematanthus fissus,TRUE,TRUE,Nematanthus fissus,1
