SpName,Longitude,Latitude
Solanum pseudoquina,-45.41,-23.76
Peltogyne confertiflora,-35.0639,-8.39889
Simarouba amara,-36.431111,-9.255
Aiouea saligna,-43.432861,-19.431861
Cordia superba,-40.110278,-13.944444
Cestrum schlechtendalii,-47.77,-15.78
Samanea tubulosa,-49.58,-15.17
Vernonanthura tweedieana,-50.5844,-27.2828
Psychotria hoffmannseggiana,-36.3711,-8.14583
Miconia ligustroides,-50.41,-22.66
Baccharis platypoda,-43.74,-19.51
Sorocea bonplandii,-50.5186,-23.1508
Eriotheca gracilipes,-48.416667,-22.75
Psychotria colorata,-49.5564,-8.80361
Bauhinia acuruana,-46.2497222,-14.8305556
Alseis floribunda,-50.91,-23.07
Andira fraxinifolia,-41.0411,-13.7628
Eugenia hirta,-39.25,-17.5333333
Waltheria cinerescens,-41.318889,-11.491667
Psychotria platypoda,-39.707778,-13.578056
Solanum ramulosum,-52.8592,-26.88
Pityrocarpa moniliformis,-38.483333,-9.333333
Psychotria carthagenensis,-48.9072,-21.1858
Licania kunthiana,-43.0406,-22.6528
Sophora tomentosa,-39.0647,-16.4497
Varronia polycephala,-56.0861,-9.87556
Miconia sellowiana,-47.063,-23.7251
Ocotea odorifera,-47.63,-24.32
Bowdichia virgilioides,-40.061823,-19.138495
Inga marginata,-59.97,-2.88
Erythroxylum deciduum,-47.93,-15.78
Clitoria fairchildiana,-41.0639,-19.4958
