original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Bulbostylis jacobinae,NA,NA,accepted,GBIF:5292246,Bulbostylis jacobinae,species,accepted,GBIF:5292246,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Bulbostylis,jacobinae,NA,2719209,2719418,Lindm. (Steud.),NA
Sloanea guianensis,NA,NA,accepted,GBIF:7291059,Sloanea guianensis,species,accepted,GBIF:7291059,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,Sloanea,guianensis,NA,3152097,4031973,Benth. (Aubl.),urucurana
Ocotea elegans,NA,NA,accepted,GBIF:4182280,Ocotea elegans,species,accepted,GBIF:4182280,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Ocotea,elegans,NA,3034076,NA,Mez,NA
Peperomia cordigera,NA,NA,accepted,GBIF:7306063,Peperomia cordigera,species,accepted,GBIF:7306063,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,cordigera,NA,3086367,NA,Dahlst.,NA
Mouriri elliptica,NA,NA,accepted,GBIF:4935947,Mouriri elliptica,species,accepted,GBIF:4935947,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Mouriri,elliptica,NA,3188623,NA,Mart.,pusa frade
Couma macrocarpa,NA,NA,accepted,GBIF:3614969,Couma macrocarpa,species,accepted,GBIF:3614969,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Couma,macrocarpa,NA,7316606,NA,Barb.Rodr.,Wajocaci
Vriesea ruschii,NA,NA,accepted,GBIF:5289012,Vriesea ruschii,species,accepted,GBIF:5289012,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,ruschii,NA,2699764,NA,L.B.Sm.,NA
Acanthospermum hispidum,NA,NA,accepted,GBIF:3100375,Acanthospermum hispidum,species,accepted,GBIF:3100375,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acanthospermum,hispidum,NA,3100362,NA,DC.,Upright starbur
Peperomia blanda,NA,NA,accepted,GBIF:4184947,Peperomia blanda,species,accepted,GBIF:4184947,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,blanda,NA,3086367,4188788,Kunth (Jacq.),arid land peperomia
Sauvagesia erecta,NA,NA,accepted,GBIF:5421109,Sauvagesia erecta,species,accepted,GBIF:5421109,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Ochnaceae,Sauvagesia,erecta,NA,3189665,NA,L.,yerba del judio
Desmodium distortum,NA,NA,accepted,GBIF:2967251,Desmodium distortum,species,accepted,GBIF:2967251,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,distortum,NA,2967050,2967255,J.F.Macbr. (Aubl.),feijao de boi
Micropterygium trachyphyllum,NA,NA,accepted,GBIF:7427166,Micropterygium trachyphyllum,species,accepted,GBIF:7427166,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Micropterygium,trachyphyllum,NA,2689112,NA,Reimers,NA
Andira cordata,NA,NA,accepted,GBIF:2952157,Andira cordata,species,accepted,GBIF:2952157,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Andira,cordata,NA,7858091,NA,Arroyo ex R.T.Penn. & H.C.Lima,Grao de galo
Mimosa microcephala,NA,NA,accepted,GBIF:2969832,Mimosa microcephala,species,accepted,GBIF:2969832,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,microcephala,NA,2969235,NA,Humb. & Bonpl. ex Willd.,NA
