scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Adenocalymma cymbalum,Bignoniaceae,Adenocalymma cymbalum Bureau & K.Schum.,Bignoniaceae,Adenocalymma cymbalum,(Cham.) Bureau & K. Schum.,flowering plants,Accepted,Bignoniaceae,(Cham.) Bureau & K. Schum.,-12.343056,-41.156667,2001-06-03,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,1
Handroanthus chrysotrichus,Bignoniaceae,Handroanthus chrysotrichus (Mart. ex DC.) Mattos,Bignoniaceae,Handroanthus chrysotrichus,(Mart. ex DC.) Mattos,flowering plants,Accepted,Bignoniaceae,(Mart. ex DC.) Mattos,-19.234444,-40.053722,2007-12-14,GBIF,Reserva Natural Vale (CVRD),Reserva Natural Vale (CVRD),Reserva Natural Vale (CVRD),CVRD,2209,1
Stigmatopteris caudata,Dryopteridaceae,Stigmatopteris caudata C.Chr.,Dryopteridaceae,Stigmatopteris caudata,(Raddi) C. Chr.,ferns and allies,Accepted,Dryopteridaceae,(Raddi) C. Chr.,-22,-42.5,NA,GBIF,F,F,F,Botany,3567,1
Miconia affinis,Melastomataceae,Miconia affinis DC.,Melastomataceae,Miconia affinis,DC.,flowering plants,Accepted,Melastomataceae,DC.,-10.583333,-63.62,1979-10-14,GBIF,Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2095,1
NA,Bromeliaceae,Tillandsia L.,Bromeliaceae,Tillandsia,L.,flowering plants,Accepted,Bromeliaceae,L.,-14.918333,-60.073889,2013-05-17,GBIF,UnB,UnB,UnB,UB,3120,1
Salvia secunda,LAMIACEAE,Salvia secunda Benth.,Lamiaceae,Salvia secunda,Benth.,flowering plants,Accepted,Lamiaceae,Benth.,-16,-49,1965-12-02,SpeciesLink,JBRJ,JBRJ,JBRJ,JBRJ_RB,249,1
NA,Polypodiaceae,Polypodiaceae,Polypodiaceae,Polypodiaceae,J. Presl & C. Presl,ferns and allies,Accepted,Polypodiaceae,J. Presl & C. Presl,-15.391667,-39.565278,2005-07-09,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
Sciaphila albescens,Triuridaceae,Sciaphila albescens,Triuridaceae,Sciaphila albescens,Benth.,flowering plants,Accepted,Triuridaceae,Benth.,-0.666667,-66.75,1979-01-01,SpeciesLink,INPA,INPA,INPA,INPA-Herbario,619,1
Thyrsodium spruceanum,Anacardiaceae,Thyrsodium spruceanum Benth.,Anacardiaceae,Thyrsodium spruceanum,Benth.,flowering plants,Accepted,Anacardiaceae,Benth.,-10.789167,-37.054167,1978-01-11,GBIF,"Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS",ASE,3114,1
NA,Quiinaceae,Quiinaceae Lacunaria MA sp 1,Ochnaceae,Lacunaria,Ducke,flowering plants,Accepted,Ochnaceae,Ducke,-2.9289898,-59.9468382,2007-08-16,TEAM,Manaus,Eduardo Eler,NA,NA,42,1
