database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.scientificName_empty,.basisOfRrecords_notStandard,country_suggested,countryCode,coordinates_transposed,.coordinates_country_inconsistent
IDIGBIO_1547,Stenocline chionaea,,,30acef7a-5fe5-4092-9b0d-455ec24d02eb,"",Brazil,Minas Gerais,"","Serra do Cipó Km 108-109, Rodovia, Cerro.",,PreservedSpecimen,"",,"Lewinsohn, TM; Martins, RP",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1548,Cyphomandra glaberrima Dusén,,,8988b9aa-d153-4a54-8d95-2dc75ddcee58,25/03/1942,Brasil,Rio de Janeiro,"","Km 4-5, no Registro, na nova estrada.",,PreservedSpecimen,Graziela,,W.Duarte,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1549,Chusquea longispiculata,,,cb6edd9d-5063-4206-8b45-22eedc4b92fe,"",Brasil,São Paulo,"","Paranapiacaba, Bela Vista de Baixo",,PreservedSpecimen,"",,"Kuhlmann, M",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1550,Epidendrum xanthinum,,,3b1efc97-929b-4fdd-b74d-2e6373f9cda8,"",Brasil,Bahia,"",Caminho p/ Cachoeira.,,PreservedSpecimen,L. P. de Queiroz,,M. L. Guedes,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1551,Inga lanceifolia Benth.,,,cf2b2cdd-5a33-491c-a6c2-eea4c5fe8063,23/08/1995,Brasil,Rio de Janeiro,"",Estrada do Comércio. REBIO do Tinguá,,PreservedSpecimen,"",,P. Germano Filho,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1552,Kohleria eriantha,,,3b0cb26f-511a-49d1-a27a-9e9814201ab4,"",Brazil,São Paulo,"",Casa de Vegetação - Fisiologia Vegetal/U,,PreservedSpecimen,"",,"Almeida, JAS",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1554,Anacardium nanum,,,992271ac-876c-4ac1-80d5-2ca29dbaef70,"",Brasil,Mato Grosso,"","Coxipó km 14 desvio a esquerda 20k, Sítio médico.",,PreservedSpecimen,"",,?,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1555,Chromolaena cylindrocephala,,,f23a0cae-7fe6-435f-85d1-df7e95b42df1,"",Brasil,Minas Gerais,"",Mata do Baú,,PreservedSpecimen,"Nakajima, J.N.",,"Assis, L.C.S.; Silva, G.E.P.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1556,Ichthyothere terminalis (Spreng.) S.F.Blake,,,d53165c7-8466-4b77-9d43-30040e207f3f,13/04/1924,Brasil,Pará,"",Tapajóz. Aramanahy.,,PreservedSpecimen,"",,J.G. Kuhlmann,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1557,Piptocarpha axillaris,,,677a6fc1-773c-4426-8120-74ff48e510d3,"",Brasil,Paraná,"",Roça Nova,,PreservedSpecimen,"Smith, GL",,"Hatschbach, G",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1558,Salpinga secunda Schrank & Mart. ex DC.,,,b8d6f66b-6a3a-4aca-9fb7-72a6d2e636b7,1971-05-09,Brazil,"","","Brazilian Amazonia. Estado do Acre. Cruzeiro do Sul, Rio Jurua & Rio Moa. Igarape Sao Francisco, Lower Rio Moa. Capoeira.",,PreservedSpecimen,"",,Maas PJM; et al.,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1559,Crotalaria juncea,,,ea40dfe6-9982-418e-b12e-425c222bc782,"",Brasil,São Paulo,"","asselvajada no Brasil, Cultivada para produção de fibras têxteis",,PreservedSpecimen,"Rockinger, A",,"Hoehne, FC; Gehrt, A",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1560,"",,,88fbb5e3-a10d-4b0d-83de-d8ed03d0ff04,"",Brasil,Bahia,"","",,PreservedSpecimen,"",,"Sampaio, M.R.; Dias, N.O. & Aona, L.Y.S.",FALSE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1561,Alseis floribunda Schott,,,69cdc528-a985-4db6-acd2-e6620ce6960b,1958-09-11,Brazil,"","","Serra do Matador, Rio do Sul.",,PreservedSpecimen,"",,Reitz,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1563,Ceramium brasiliense,,,9d733dfb-64b5-4b32-a560-f15b1461ccd1,"",Brazil,Paraná,"",Ilha do Farol,,PreservedSpecimen,"Shirata, M.T.",,"Shirata, M.T.; et al.; et al.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1564,Miconia mirabilis (Aubl.) L.O. Williams,,,fcf12434-6079-44fa-87ef-23e36297cc83,"",Brazil,Bahia,Eunápolis,"Extremo Sul, Estação Pau Brasil.",,PreservedSpecimen,M.L. Guedes,,M.L. Guedes|et al.,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1565,Esenbeckia grandiflora,,,cc05d889-2dd9-4519-894c-59972bffb7a8,"",Brasil,Espírito Santo,"",Parque Estadual de Itaúnas.,,PreservedSpecimen,"",,"Pereira, O.J.; Assis, A.M. & Simonelli, M.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1566,Dicranopteris flexuosa,,,3bab6d21-8952-4036-8764-9b4b46d7afac,"",Brasil,Mato Grosso,"","Rio das Mortes, próximo a Ilha 23.",,PreservedSpecimen,"Athayde Filho, F.P.",,"Machado, E.M.N.; Neiva, S.Z.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
